,FERAID,NGS Run Number,BIOSYS site ID,Season,Dataset,SPT_Name,Conductivity,N_NH4,N_NO3,P_PO4,Alkalinity,pH,TotalRead,NonPlankRead,NoBlast Hit,% No Blast Hit of total count,NGS_TDI,LM_TDI4,LM_TDI5,Northing,Easting,Lon,Lat
22,2519,Diatom2,421,Spr,2016,LOW LAITHE,175.5580468,0.026204642,2.008677383,0.02938631,35.34375,7.686363683,42361,42356,12100,28.56738124,62.19668744,69.11341853,68.71815287,463935,419001,54.07100184,-1.711134186
23,2783,Diatom4,421,Aut,2016,LOW LAITHE,175.5580468,0.026204642,2.008677383,0.02938631,35.34375,7.686363683,58631,58630,18776,32.02456081,56.04491541,51.23720137,49.37707641,463935,419001,54.07100184,-1.711134186
24,2901,Diatom2,465,Spr,2016,LEIGHTON,88.9969206,0.017380692,0.583151768,0.006849134,14.78571429,7.769285679,40328,40309,14354,35.60991342,19.53716722,20.36065574,19.68847352,479311,416636,54.20927263,-1.746431978
25,2456,Diatom3,465,Aut,2016,LEIGHTON,88.9969206,0.017380692,0.583151768,0.006849134,14.78571429,7.769285679,78652,78527,41654,53.04417589,73.08345196,33.33756345,21.32861635,479311,416636,54.20927263,-1.746431978
26,2566,Diatom3,473,Spr,2016,U/S AGDEN RESERVOIR,73.29461315,0.022355085,0.336053946,0.008719423,10.84615385,7.166666706,47741,47740,14991,31.40134059,10.05971399,20.64,23.35643564,393977,424317,53.44200869,-1.635383612
27,3096,Diatom4,473,Aut,2016,U/S AGDEN RESERVOIR,73.29461315,0.022355085,0.336053946,0.008719423,10.84615385,7.166666706,41753,41752,30489,73.02404675,11.42079956,16.15555556,10.42207792,393977,424317,53.44200869,-1.635383612
28,2551,Diatom1,488,Spr,2016,ROSEDALE,138.3638113,0.019602217,0.425525747,0.011331321,21.72727273,7.485151537,45689,45688,24422,53.45386097,22.23415755,36.04575163,33.86645963,496021,472452,54.35458373,-0.886718777
29,2777,Diatom4,488,Aut,2016,ROSEDALE,138.3638113,0.019602217,0.425525747,0.011331321,21.72727273,7.485151537,52399,52399,16355,31.21242772,31.59128608,39.0952381,26.57467532,496021,472452,54.35458373,-0.886718777
30,3003,Diatom1,508,Spr,2016,RUSWARP,483.7340728,0.03397046,1.49626448,0.044175279,118,8.237142869,9511,9510,4033,42.40799159,58.65409019,74.28685897,74.28685897,508997,489829,54.46840442,-0.615502574
31,3113,Diatom5,508,Aut,2016,RUSWARP,483.7340728,0.03397046,1.49626448,0.044175279,118,8.237142869,20320,20272,8686,42.84727703,70.57772569,79.56070288,79.46656051,508997,489829,54.46840442,-0.615502574
32,2659,Diatom2,509,Spr,2016,U/S RIVELIN DAMS,124.9423105,0.036143909,0.366238144,0.015751553,21.35294118,7.856111076,35041,35038,10560,30.13870655,32.95699012,43.0876494,44.00662252,387415,426262,53.3829344,-1.606647317
33,2949,Diatom4,509,Aut,2016,U/S RIVELIN DAMS,124.9423105,0.036143909,0.366238144,0.015751553,21.35294118,7.856111076,44620,44603,17002,38.11851221,23.57782119,37.14754098,31.32596685,387415,426262,53.3829344,-1.606647317
34,2903,Diatom2,638,Spr,2016,NORTH WOOD,83.79861566,0.005634627,0.373379672,0.005520447,19,7.685000062,54728,54721,34723,63.45461523,13.86831309,29.8603352,18.73817035,478758,414541,54.20436591,-1.778579203
35,2455,Diatom3,638,Aut,2016,NORTH WOOD,83.79861566,0.005634627,0.373379672,0.005520447,19,7.685000062,43101,42849,24021,56.05965133,25.26952502,31.41304348,21.17601246,478758,414541,54.20436591,-1.778579203
36,2883,Diatom2,765,Spr,2016,NEAR EAST NEWTON,611.9043505,0.041244949,6.083220531,0.118775463,179.9285714,8.066428593,67366,67361,17375,25.79385698,64.78259418,70.77361564,70.8015873,479988,464319,54.21160188,-1.015276949
37,2380,Diatom5,765,Aut,2016,NEAR EAST NEWTON,611.9043505,0.041244949,6.083220531,0.118775463,179.9285714,8.066428593,25099,25099,8761,34.90577314,80.92223389,75.08899676,74.92718447,479988,464319,54.21160188,-1.015276949
38,2618,Diatom2,1169,Spr,2016,U/S FOOTBRIDGE,76.34994174,0.036159984,0.286814313,0.018611308,10.66666667,7.523333232,43000,42990,20160,46.89462666,11.18845041,26.59340659,26.28333333,423174,399870,53.70499545,-2.003446644
39,2951,Diatom4,1169,Aut,2016,U/S FOOTBRIDGE,76.34994174,0.036159984,0.286814313,0.018611308,10.66666667,7.523333232,18248,18242,10165,55.72305668,24.53526337,23.19711538,15.73482428,423174,399870,53.70499545,-2.003446644
40,2633,Diatom2,1170,Spr,2016,RIPPONDEN,201.2279478,0.04114836,0.664856562,0.015299225,30.03030303,7.825757561,45310,43370,7309,16.85266313,18.81670032,33.42320261,33.61378205,418791,403480,53.66558973,-1.948808897
41,2679,Diatom3,1170,Aut,2016,RIPPONDEN,201.2279478,0.04114836,0.664856562,0.015299225,30.03030303,7.825757561,61766,61760,26745,43.30472798,52.36438848,50.27580071,40.83810888,418791,403480,53.66558973,-1.948808897
42,2945,Diatom2,1205,Spr,2016,U/S ROCKLEY DIKE,1039.273669,0.213957089,9.149303197,1.302725957,102.1666667,7.749166767,24347,24332,6371,26.1836265,47.94578691,61.68300654,61.37096774,401914,433805,53.51282612,-1.491699329
43,2966,Diatom4,1205,Aut,2016,U/S ROCKLEY DIKE,1039.273669,0.213957089,9.149303197,1.302725957,102.1666667,7.749166767,29577,28497,10268,36.031863,50.41539225,59.70950704,56.41803279,401914,433805,53.51282612,-1.491699329
44,3017,Diatom4,1240,Spr,2016,CROOKLAND WOOD,80.99075558,0.025545461,0.288774895,0.010501505,12.09090909,7.118181807,51141,51141,20097,39.29723705,14.70113174,29.16373239,22.90716612,400611,419786,53.50182581,-1.703179558
45,3009,Diatom4,1240,Aut,2016,CROOKLAND WOOD,80.99075558,0.025545461,0.288774895,0.010501505,12.09090909,7.118181807,46966,46748,15401,32.94472491,16.54914921,20.86046512,15.1618123,400611,419786,53.50182581,-1.703179558
46,2376,Diatom2 ,1396,Spr,2016,U/S AIRE,328.6876426,0.051767872,1.980727259,0.13313913,88.39393939,8.200909094,22167,22148,4898,22.11486364,70.31909901,69.50769231,69.50769231,445236,403929,53.90327354,-1.941686514
